,Entity Name,Plant Name,Nameplate Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Operating Month,Operating Year,Plant State,Age,emmR,emmF
1927,City of Lamoni - (IA),Lamoni Municipal Utilities,2.8,Petroleum Liquids,DFO,IC,6.0,1973.0,IA,46.0,0.08,0.22399999999999998
1928,City of Lamoni - (IA),Lamoni Municipal Utilities,0.2,Petroleum Liquids,DFO,IC,3.0,1940.0,IA,79.0,0.08,0.016
1929,City of Lamoni - (IA),Lamoni Municipal Utilities,0.3,Petroleum Liquids,DFO,IC,8.0,1941.0,IA,78.0,0.08,0.024
1930,City of Lamoni - (IA),Lamoni Municipal Utilities,0.6,Petroleum Liquids,DFO,IC,12.0,1948.0,IA,71.0,0.08,0.048
1931,City of Lamoni - (IA),Lamoni Municipal Utilities,1.1,Petroleum Liquids,DFO,IC,1.0,1955.0,IA,64.0,0.08,0.08800000000000001
1932,City of Lamoni - (IA),Lamoni Municipal Utilities,0.5,Petroleum Liquids,DFO,IC,2.0,1993.0,IA,26.0,0.08,0.04
1933,City of Lamoni - (IA),Lamoni Municipal Utilities,2.5,Petroleum Liquids,DFO,IC,5.0,2011.0,IA,8.0,0.08,0.2
1934,City of Lamoni - (IA),Lamoni Municipal Utilities,2.5,Petroleum Liquids,DFO,IC,5.0,2011.0,IA,8.0,0.08,0.2
1935,La Porte City Utilities,La Porte,1.8,Petroleum Liquids,DFO,IC,12.0,2000.0,IA,19.0,0.08,0.14400000000000002
1936,La Porte City Utilities,La Porte,1.8,Petroleum Liquids,DFO,IC,12.0,2000.0,IA,19.0,0.08,0.14400000000000002
1937,La Porte City Utilities,La Porte,1.8,Petroleum Liquids,DFO,IC,7.0,2013.0,IA,6.0,0.08,0.14400000000000002
1938,City of Laurens - (IA),Laurens,0.8,Petroleum Liquids,DFO,IC,7.0,1952.0,IA,67.0,0.08,0.064
1939,City of Laurens - (IA),Laurens,0.8,Petroleum Liquids,DFO,IC,7.0,1951.0,IA,68.0,0.08,0.064
1940,City of Laurens - (IA),Laurens,2.5,Petroleum Liquids,DFO,IC,4.0,2013.0,IA,6.0,0.08,0.2
1941,City of Laurens - (IA),Laurens,2.5,Petroleum Liquids,DFO,IC,4.0,2013.0,IA,6.0,0.08,0.2
1942,City of Laurens - (IA),Laurens,2.5,Petroleum Liquids,DFO,IC,4.0,2013.0,IA,6.0,0.08,0.2
1943,City of Lenox - (IA),Lenox,0.3,Petroleum Liquids,DFO,IC,9.0,1948.0,IA,71.0,0.08,0.024
1944,City of Lenox - (IA),Lenox,1.1,Petroleum Liquids,DFO,IC,3.0,1965.0,IA,54.0,0.08,0.08800000000000001
1945,City of Lenox - (IA),Lenox,0.9,Petroleum Liquids,DFO,IC,3.0,1966.0,IA,53.0,0.08,0.07200000000000001
1946,City of Lenox - (IA),Lenox,1.8,Petroleum Liquids,DFO,IC,10.0,2001.0,IA,18.0,0.08,0.14400000000000002
1947,City of Lenox - (IA),Lenox,2.0,Petroleum Liquids,DFO,IC,2.0,2016.0,IA,3.0,0.08,0.16
1948,City of Manning,Manning,0.2,Petroleum Liquids,DFO,IC,3.0,1928.0,IA,91.0,0.08,0.016
1949,City of Manning,Manning,0.2,Petroleum Liquids,DFO,IC,3.0,1928.0,IA,91.0,0.08,0.016
1950,City of Manning,Manning,0.6,Petroleum Liquids,DFO,IC,7.0,1949.0,IA,70.0,0.08,0.048
1951,City of Manning,Manning,2.3,Petroleum Liquids,DFO,IC,4.0,2012.0,IA,7.0,0.08,0.184
1952,City of Manning,Manning,2.3,Petroleum Liquids,DFO,IC,4.0,2012.0,IA,7.0,0.08,0.184
1953,City of Manning,Manning,2.3,Petroleum Liquids,DFO,IC,4.0,2012.0,IA,7.0,0.08,0.184
1954,City of Maquoketa - (IA),Maquoketa 1,3.1,Natural Gas Internal Combustion Engine,NG,IC,6.0,2004.0,IA,15.0,0.059,0.1829
1955,City of Maquoketa - (IA),Maquoketa 1,3.1,Natural Gas Internal Combustion Engine,NG,IC,6.0,2004.0,IA,15.0,0.059,0.1829
1956,City of Maquoketa - (IA),Maquoketa 1,2.1,Natural Gas Internal Combustion Engine,NG,IC,10.0,1969.0,IA,50.0,0.059,0.1239
1957,City of Maquoketa - (IA),Maquoketa 1,1.8,Petroleum Liquids,DFO,IC,7.0,1999.0,IA,20.0,0.08,0.14400000000000002
1958,City of Maquoketa - (IA),Maquoketa 1,1.7,Natural Gas Internal Combustion Engine,NG,IC,6.0,1956.0,IA,63.0,0.059,0.10029999999999999
1959,City of Maquoketa - (IA),Maquoketa 1,2.5,Natural Gas Internal Combustion Engine,NG,IC,11.0,1962.0,IA,57.0,0.059,0.1475
1960,City of Maquoketa - (IA),Maquoketa 1,6.5,Natural Gas Internal Combustion Engine,NG,IC,9.0,1982.0,IA,37.0,0.059,0.38349999999999995
1961,City of Maquoketa - (IA),Maquoketa 1,1.8,Petroleum Liquids,DFO,IC,9.0,1996.0,IA,23.0,0.08,0.14400000000000002
1962,City of Maquoketa - (IA),Maquoketa 1,1.8,Petroleum Liquids,DFO,IC,7.0,2000.0,IA,19.0,0.08,0.14400000000000002
