,Entity Name,Plant Name,Nameplate Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Operating Month,Operating Year,Plant State,Age,emmR,emmF
2074,City of Winterset - (IA),Winterset,2.0,Petroleum Liquids,DFO,IC,4.0,2002.0,IA,17.0,0.08,0.16
2075,City of Winterset - (IA),Winterset,2.0,Petroleum Liquids,DFO,IC,4.0,2002.0,IA,17.0,0.08,0.16
2076,Central Iowa Power Cooperative,Summit Lake,7.5,Natural Gas Fired Combined Cycle,NG,CA,3.0,1951.0,IA,68.0,0.059,0.4425
2077,Central Iowa Power Cooperative,Summit Lake,7.5,Natural Gas Fired Combined Cycle,NG,CA,3.0,1951.0,IA,68.0,0.059,0.4425
2078,Central Iowa Power Cooperative,Summit Lake,7.5,Natural Gas Fired Combined Cycle,NG,CA,10.0,1957.0,IA,62.0,0.059,0.4425
2079,Central Iowa Power Cooperative,Summit Lake,27.0,Natural Gas Fired Combined Cycle,NG,CT,7.0,1973.0,IA,46.0,0.059,1.593
2080,Central Iowa Power Cooperative,Summit Lake,35.3,Natural Gas Fired Combined Cycle,NG,CT,6.0,1975.0,IA,44.0,0.059,2.0826999999999996
2081,Corn Belt Power Coop,Earl F Wisdom,37.5,Natural Gas Steam Turbine,NG,ST,4.0,1960.0,IA,59.0,0.059,2.2125
2082,Corn Belt Power Coop,Earl F Wisdom,81.6,Natural Gas Fired Combustion Turbine,NG,GT,4.0,2004.0,IA,15.0,0.059,4.814399999999999
2083,Midwest Energy Inc,Bird City,2.0,Petroleum Liquids,DFO,IC,1.0,1965.0,KS,54.0,0.08,0.16
2084,Midwest Energy Inc,Bird City,2.0,Petroleum Liquids,DFO,IC,1.0,1966.0,KS,53.0,0.08,0.16
2085,Midwest Energy Inc,Colby,16.0,Natural Gas Fired Combustion Turbine,NG,GT,1.0,1970.0,KS,49.0,0.059,0.944
2086,Sunflower Electric Power Corp,Cimarron River,50.0,Natural Gas Steam Turbine,NG,ST,10.0,1963.0,KS,56.0,0.059,2.9499999999999997
